Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,New_Item_Type
FDA15,-0.8418716873704777,Low Fat,-0.9707321742340472,Dairy,1.747453810500045,OUT049,1999,1,0,Supermarket Type1,3735.138,1
DRC01,-1.6417058911861941,Regular,-0.9081112260568366,Soft Drinks,-1.4890232521574345,OUT018,2009,1,2,Supermarket Type2,443.4228,0
FDN15,1.0985544875670585,Low Fat,-0.9569173311583046,Meat,0.010040209322175003,OUT049,1999,1,0,Supermarket Type1,2097.27,1
FDX07,1.5008379628589867,Regular,-1.2817577519125376,Fruits and Vegetables,0.6600495477422742,OUT010,1998,3,2,Grocery Store,732.38,1
NCD19,-0.9294275025810741,Low Fat,-1.2817577519125376,Household,-1.399219605090881,OUT013,1987,0,2,Supermarket Type1,994.7052,2
FDP36,-0.5827538018147947,Regular,-1.2817577519125376,Baking Goods,-1.4387337236796227,OUT018,2009,1,2,Supermarket Type2,556.6088,1
FDO10,0.18750073470004458,Regular,-1.0348125138019009,Snack Foods,-1.3382381721359564,OUT013,1987,0,2,Supermarket Type1,343.5528,1
FDP10,0.0,Low Fat,1.1888375157913318,Snack Foods,-0.5336410457037208,OUT027,1985,1,2,Supermarket Type3,4022.7636,1
FDH17,0.7909259476379368,Regular,-0.9583314466642703,Frozen Foods,-0.7069083520213211,OUT045,2002,3,1,Supermarket Type1,1076.5986,1
FDU28,1.5008379628589867,Regular,0.5488453065859961,Frozen Foods,0.7520082767866417,OUT017,2007,3,1,Supermarket Type1,4710.535,1
FDY07,-0.2502783413529361,Low Fat,-1.2817577519125376,Fruits and Vegetables,-1.532847534701804,OUT049,1999,1,0,Supermarket Type1,1516.0266,1
FDA03,1.3351918259740752,Regular,-0.4005879987703265,Dairy,0.05006178387588622,OUT046,1997,2,0,Supermarket Type1,2187.153,1
FDX32,0.5306248753902185,Regular,0.6566838971316045,Fruits and Vegetables,0.07203655420703896,OUT049,1999,1,0,Supermarket Type1,1589.2646,1
FDS46,1.1222182214077605,Regular,-0.36582567456558046,Snack Foods,-0.34228518245758355,OUT046,1997,2,0,Supermarket Type1,2145.2076,1
