,y_test,prediction
4931,1426.1436,2680.27093973094
4148,1201.769,2521.5118792478925
7423,1836.2764,2260.1878853425987
4836,2410.8618,2300.3738420005884
944,1549.9824,3067.8365282984187
154,3169.208,3595.781287870249
7230,2036.6822,2958.9831045580313
3472,824.9262,1978.630564565286
2294,378.1744,1433.721816263399
2588,1573.9512,1784.5511045907092
2087,2474.7786,1869.6932933866067
7318,101.8674,269.0616356249574
6126,894.8352,1611.195336020527
4164,1491.392,2398.6699728052695
6572,1390.1904,2034.0666082954042
693,1707.777,1449.3299665414906
1270,1853.5872,2476.3401982237488
5893,2404.8696,2809.9389628378667
1624,5528.1374,3846.6513652309286
5223,12117.56,5359.618898914961
2972,4767.128,3600.181929147249
6814,185.7582,1846.235188275487
1555,187.0898,1216.4959951270628
8275,772.328,1547.353296543603
3760,1324.2762,2115.494933535873
3161,2036.6822,1572.1244031265137
5225,6574.775,5549.953461194787
1570,5285.1204,4101.897981320175
4285,773.6596,863.7519411551548
1835,6615.3888,3822.893020985637
4266,1022.6688,1438.659191862185
2740,2797.6916,4076.2574061336477
4312,3099.9648,2681.9717910103222
2379,1720.4272,3352.511165638093
821,3338.3212,2335.188965811855
5862,1061.951,1449.4186981612224
5108,4567.388,4038.3830728678277
7149,6474.2392,5378.808785062878
2060,1145.176,1900.9973001901512
1571,2804.3496,1718.1301698909842
3879,945.436,1265.458392581548
1889,1255.033,2291.489012642391
528,5206.556,3703.824362869784
7060,5842.395,3779.611746579263
5845,3379.6008,2980.807978454882
5860,477.3786,699.0055371386456
4861,113.8518,-203.15967617615615
1824,992.042,1302.1823914175923
1098,5259.82,4153.391942142533
5530,1704.448,1530.4656343548077
1921,117.8466,95.64082402694112
8517,3608.636,2838.061010530991
4908,729.051,598.1961669187234
2006,2422.1804,2408.4401066610358
98,4363.6532,3790.456875960287
7140,753.0198,736.4684679276268
1003,713.0718,506.94421364627647
3162,683.1108,616.4378303731003
4376,195.7452,-194.19328428253152
3930,3159.8868,3603.082594838182
5973,1348.245,1457.164416721498
4276,1803.6522,1254.1457472840596
6789,5932.278,2565.8129666870873
8116,71.9064,-966.7845779175482
2030,2270.378,1703.4617447348649
3484,303.6048,533.8191515076264
233,2603.278,2402.738680023395
4511,5773.1518,3169.1858330719265
852,2691.8294,3248.5869230917156
1364,476.047,472.28104301542976
257,193.082,1630.9837007744609
5809,2460.7968,1619.9187572094547
3810,121.8414,111.6544364440324
